user_id,latitude,longtitude,timestamp
112,39.9972433,116.4019516,2008-07-06 01:43:30
112,39.9972449,116.4019816,2008-07-06 01:43:31
112,39.9972299,116.4019916,2008-07-06 01:43:33
112,39.9972366,116.4020233,2008-07-06 01:43:35
112,39.9972299,116.4020416,2008-07-06 01:43:37
112,39.9971283,116.4021633,2008-07-06 01:43:39
112,39.9971449,116.4021799,2008-07-06 01:43:41
112,39.9971616,116.4022099,2008-07-06 01:43:43
112,39.9971883,116.40224,2008-07-06 01:43:45
112,39.9971933,116.4022849,2008-07-06 01:43:47
112,39.9971966,116.4023266,2008-07-06 01:43:49
112,39.9972033,116.40236,2008-07-06 01:43:51
112,39.9972166,116.4024133,2008-07-06 01:43:53
112,39.9972216,116.4024549,2008-07-06 01:43:55
112,39.9972383,116.4024899,2008-07-06 01:43:57
112,39.9972516,116.4025516,2008-07-06 01:43:59
112,39.9972716,116.4025833,2008-07-06 01:44:01
112,39.9972883,116.4026033,2008-07-06 01:44:03
112,39.997335,116.4026316,2008-07-06 01:44:05
112,39.9973966,116.4026849,2008-07-06 01:44:07
112,39.9974083,116.4027166,2008-07-06 01:44:09
112,39.9974266,116.4027399,2008-07-06 01:44:11
112,39.9974416,116.4027916,2008-07-06 01:44:13
112,39.9974033,116.4028333,2008-07-06 01:44:15
112,39.9973816,116.4028599,2008-07-06 01:44:17
112,39.9973483,116.4029083,2008-07-06 01:44:19
112,39.9973083,116.4029683,2008-07-06 01:44:21
112,39.9973066,116.4030266,2008-07-06 01:44:23
112,39.9972933,116.403075,2008-07-06 01:44:25
112,39.99725,116.4031316,2008-07-06 01:44:27
112,39.9972333,116.4031899,2008-07-06 01:44:29
112,39.9972066,116.403235,2008-07-06 01:44:31
112,39.9972266,116.4032383,2008-07-06 01:44:33
112,39.99725,116.4032266,2008-07-06 01:44:35
112,39.9972683,116.4032383,2008-07-06 01:44:37
112,39.9972266,116.403285,2008-07-06 01:44:39
112,39.9972116,116.4033383,2008-07-06 01:44:41
