Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 24367.0s (from 2008-11-12T10:30:03 to 2008-11-12T17:16:10)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 77388.0s (from 2008-11-19T00:20:08 to 2008-11-19T21:49:56)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 85377.0s (from 2008-12-03T00:11:28 to 2008-12-03T23:54:25)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 19659.0s (from 2008-12-10T10:35:03 to 2008-12-10T16:02:42)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 19536.0s (from 2009-04-01T13:06:07 to 2009-04-01T18:31:43)
Score: 133 Duration 1: 90.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:23:08) Duration 2: 90.0s (from 2009-04-15T17:23:23 to 2009-04-15T17:24:53)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 27986.0s (from 2009-04-22T10:38:59 to 2009-04-22T18:25:25)
Score: 248 Duration 1: 755.0s (from 2008-10-29T17:22:03 to 2008-10-29T17:34:38) Duration 2: 245.0s (from 2009-04-29T20:48:50 to 2009-04-29T20:52:55)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 61919.0s (from 2009-05-06T03:53:37 to 2009-05-06T21:05:36)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 56639.0s (from 2009-05-13T03:55:58 to 2009-05-13T19:39:57)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 69752.0s (from 2009-05-20T01:40:38 to 2009-05-20T21:03:10)
Score: 84 Duration 1: 55.0s (from 2008-10-29T17:22:08 to 2008-10-29T17:23:03) Duration 2: 55.0s (from 2009-05-27T16:26:42 to 2009-05-27T16:27:37)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 73590.0s (from 2009-06-03T02:53:07 to 2009-06-03T23:19:37)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 76070.0s (from 2009-06-10T01:31:36 to 2009-06-10T22:39:26)
Score: 186 Duration 1: 645.0s (from 2008-10-29T17:21:43 to 2008-10-29T17:32:28) Duration 2: 2275.0s (from 2009-06-17T18:27:35 to 2009-06-17T19:05:30)
Score: 0 Duration 1: 1505.0s (from 2008-10-29T17:21:38 to 2008-10-29T17:46:43) Duration 2: 42190.0s (from 2009-06-24T07:34:04 to 2009-06-24T19:17:14)
Score: 140 Duration 1: 95.0s (from 2008-11-12T11:44:58 to 2008-11-12T11:46:33) Duration 2: 90.0s (from 2008-11-19T09:28:06 to 2008-11-19T09:29:36)
